"#TYPE","EUS","ENG",
"#LANGUAGENAME","Basque","English"
"phrase","Bai","Yes",
"phrase","Ez","No",
"phrase","Kaixo!","Hello",
"phrase","Agur!","Goodbye!",
"phrase","Ikusi arte","See you!",
"phrase","Eskerrik asko!","Thank you!",
"phrase","Egun on","Good morning",
"phrase","Arratsalde on","Good evening",
"phrase","Gabon","Good night",
"phrase","Mesedez","Please",
"phrase","Barkatu","Excuse (me)",
"phrase","Aizu!","Listen! (To get someone's attention, not very polite, to be used with friends)",
"phrase","Kafe hutsa nahi nuke","Can I have a coffee?",
"phrase","Garagardoa nahi nuke","Can I have a beer?",
"phrase","Komunak","Toilets",
"phrase","Komuna non dago?","Where are the toilets?",
"phrase","Non dago tren-geltokia?","Where is the train station?",
"phrase","Non dago autobus-geltokia?","Where is the bus station?",
"phrase","Ba al da hotelik hemen inguruan?","Where is the (nearest, only) hotel?",
"phrase","Zorionak","Happy holidays (During Christmas and new year´s)",
"phrase","Kaixo aspaldiko!","Like Kaixo, but adds \"," no see\""-meaning."""
"phrase","Ez horregatik","You're welcome",
"phrase","Ez dut ulertzen","I don't understand",
"phrase","Ez dakit euskaraz","I don't speak Basque",
"phrase","Ba al dakizu ingelesez?","Dou you speak English?",
"phrase","Neska polita","(You´re a) beautiful girl",
"phrase","Zein da zure izena?","What is your name?",
"phrase","Pozten nau zu ezagutzeak","Nice to meet you",
"phrase","Ongi etorri!","Welcome!",
"phrase","Egun on denoi","Good morning everyone!",
"phrase","Berdin / Hala zuri ere","The same to you (E.g. after Kaixo or Egun on)",
"phrase","Jakina! Noski!","Sure! OK!",
"phrase","Nongoa zara?","Where are you from?",
"phrase","Non dago...?","Where is...?",
"phrase","Badakizu euskaraz?","Do you speak Basque?",
"phrase","Bai ote?","Really? Maybe?",
"phrase","Bizi gara!!","We are alive!!",
"phrase","Bagarela!!","So we are!! (Answer to the above)",
"phrase","Topa!","Cheers!",
"phrase","Hementxe!","Over / right here!",
"phrase","Geldi!","Stop",
"phrase","Lasai","Take it easy",
"phrase","Ez dut nahi","I don't want",
