"#TYPE","#SENSE","ENG","GLI","NRR","SWD","GER","DUT","PQL","RUS","FIN","BSQ","PRT","PRV","ITA","Romaji","Pinyin"
"#LANGUAGENAME",,"English","Irish","Norwegian","Swedish","German","Dutch","Polish","Russian","Finnish","Basque","Portuguese","Provencal","Italian","Romaji","Pinyin"
"#INPUT-METHODS",,"british","irish","norwegian","swedish","german","dutch","polish","russian","finnish","basque","portuguese",,,"romaji","tone-pinyin-as-such"
"noun","food","bacon","bagún",,,"speck(m)",,,,,,,,,,
"noun","food","bean",,,,"bohne(f)","boon",,,,,,,,,
"noun","food","bilberry","fraochán(m)",,,,,,,,,,,,,
"noun","food","Bread",,,,"brot(n)",,,,,,"Pão",,,,
"noun","food","carrot","meacan dearg",,"morot",,,,,,,,,,,
"noun","food","chocolate","seacláid",,,,,,,,,,,,,
"noun","food","grapefruit","seadóg","grapefrukt",,,,,,,,,,,,
"noun","food","nut",,"nøtt",,,,,,,,,,,,
"noun","food","porridge","leite, brachán","havregrøt",,,,,,,,,,,,
"noun","food","tomato","tráta",,,,,,,,,,,,,
"noun","food","venison","fiafheoil","vilt, hjortekjøtt",,"hirschfleisch(n)",,,,,,,,,,
"noun","food","walnut","gallchnó","valnøtt",,,,,,,,,,,,
